biomarker;correlation_type;neurotransmitter;receptor;region_type;n;rho;pvalue;p_spin;pvalue_fdr;sig_fdr
t1t2;baseline_all;serotonin;5HT4;subcortical;19;0,2895;0,229335134;;0,342232189;FALSE
t1t2;baseline_all;serotonin;5HT6;subcortical;19;0,1439;0,556821963;;0,67850462;FALSE
t1t2;baseline_all;serotonin;5HTT;subcortical;19;0,8333;9,40E-06;;0,000150424;TRUE
t1t2;baseline_all;glutamate;mGluR5;cortical;62;-0,5511;3,46E-06;0,016983017;0,135864136;FALSE
t1t2;baseline_all;glutamate;NMDA;cortical;62;0,1079;0,403834835;0,585414585;0,851512124;FALSE
t1t2;baseline_all;glutamate;mGluR5;subcortical;19;-0,1175;0,631764159;;0,67850462;FALSE
t1t2;baseline_all;glutamate;NMDA;subcortical;19;0,1123;0,647206893;;0,67850462;FALSE
t1t2;baseline_declining;dopamine;D1;cortical;62;-0,2606;0,040779406;0,444555445;0,825021133;FALSE
t1t2;baseline_declining;dopamine;D2;cortical;62;-0,5875;5,17E-07;0,152847153;0,735264735;FALSE
t1t2;baseline_declining;dopamine;DAT;cortical;62;-0,2048;0,110312049;0,633366633;0,825021133;FALSE
t1t2;baseline_declining;dopamine;D1;subcortical;19;0,2333;0,336357069;;0,448476093;FALSE
t1t2;baseline_declining;dopamine;D2;subcortical;19;0,3719;0,116879234;;0,233758468;FALSE
t1t2;baseline_declining;dopamine;DAT;subcortical;19;0,5404;0,01691949;;0,04511864;TRUE
t1t2;baseline_declining;ach;VAChT;cortical;62;-0,2611;0,040377854;0,480519481;0,825021133;FALSE
t1t2;baseline_declining;ach;M1;cortical;62;-0,2204;0,085161764;0,59040959;0,825021133;FALSE
t1t2;baseline_declining;ach;A4B2;cortical;62;-0,3215;0,010821295;0,611388611;0,825021133;FALSE
t1t2;baseline_declining;ach;VAChT;subcortical;19;0,2667;0,269768165;;0,406823729;FALSE
t1t2;baseline_declining;ach;M1;subcortical;19;-0,1316;0,591304712;;0,673881769;FALSE
t1t2;baseline_declining;ach;A4B2;subcortical;19;0,3947;0,094420521;;0,215818335;FALSE
t1t2;baseline_declining;gaba;GABAa-bz;cortical;62;0,1344;0,297674664;0,552447552;0,825021133;FALSE
t1t2;baseline_declining;gaba;GABAa;cortical;62;0,0529;0,682979797;0,803196803;0,843156843;FALSE
t1t2;baseline_declining;gaba;GABAa-bz;subcortical;19;-0,5509;0,014508498;;0,04511864;TRUE
t1t2;baseline_declining;gaba;GABAa;subcortical;19;-0,7193;0,000518354;;0,004146834;TRUE
t1t2;baseline_declining;serotonin;5HT1a;cortical;62;-0,598;2,86E-07;0,183816184;0,735264735;FALSE
t1t2;baseline_declining;serotonin;5HT1b;cortical;62;-0,1031;0,42534559;0,843156843;0,843156843;FALSE
t1t2;baseline_declining;serotonin;5HT2a;cortical;62;-0,2065;0,107302431;0,559440559;0,825021133;FALSE
t1t2;baseline_declining;serotonin;5HT4;cortical;62;-0,6404;2,08E-08;0,000999001;0,015984016;TRUE
t1t2;baseline_declining;serotonin;5HT6;cortical;62;-0,178;0,166413097;0,67032967;0,825021133;FALSE
t1t2;baseline_declining;serotonin;5HTT;cortical;62;-0,0951;0,462130994;0,815184815;0,843156843;FALSE
t1t2;baseline_declining;serotonin;5HT1a;subcortical;19;-0,5404;0,01691949;;0,04511864;TRUE
t1t2;baseline_declining;serotonin;5HT1b;subcortical;19;0,5789;0,009396104;;0,04511864;TRUE
t1t2;baseline_declining;serotonin;5HT2a;subcortical;19;-0,3561;0,134505742;;0,239121319;FALSE
t1t2;baseline_declining;serotonin;5HT4;subcortical;19;0,2614;0,279691313;;0,406823729;FALSE
t1t2;baseline_declining;serotonin;5HT6;subcortical;19;0,1175;0,631764159;;0,673881769;FALSE
t1t2;baseline_declining;serotonin;5HTT;subcortical;19;0,8281;1,20E-05;;0,000192241;TRUE
t1t2;baseline_declining;glutamate;mGluR5;cortical;62;-0,4285;0,000511306;0,165834166;0,735264735;FALSE
t1t2;baseline_declining;glutamate;NMDA;cortical;62;0,0957;0,459515255;0,611388611;0,825021133;FALSE
t1t2;baseline_declining;glutamate;mGluR5;subcortical;19;-0,1439;0,556821963;;0,673881769;FALSE
t1t2;baseline_declining;glutamate;NMDA;subcortical;19;0,086;0,726397044;;0,726397044;FALSE
volume;delta_all;dopamine;D1;cortical;62;-0,0871;0,500830592;;;FALSE
volume;delta_all;dopamine;D2;cortical;62;-0,677;1,53E-09;;;FALSE
volume;delta_all;dopamine;DAT;cortical;62;-0,1531;0,234737828;;;FALSE
volume;delta_all;dopamine;D1;subcortical;19;0,2649;0,273051176;;0,436881881;FALSE
volume;delta_all;dopamine;D2;subcortical;19;0,3649;0,124497185;;0,284564995;FALSE
volume;delta_all;dopamine;DAT;subcortical;19;0,5123;0,024930772;;0,132964117;FALSE
volume;delta_all;ach;VAChT;cortical;62;-0,077;0,551784308;;;FALSE
