biomarker,correlation_type,neurotransmitter,receptor,region_type,n,rho,pvalue,pvalue_fdr,sig_fdr,ci_lower_95,ci_upper_95
t1t2,baseline_all,ach,A4B2,cortical,62,-0.5159,1.8e-05,0.000106,True,-0.6824,-0.2985
t1t2,baseline_all,ach,VAChT,subcortical,19,0.286,0.235285,0.282342,False,-0.2075,0.6634
t1t2,baseline_all,ach,M1,subcortical,19,-0.1018,0.678505,0.678505,False,-0.5419,0.3822
t1t2,baseline_all,ach,A4B2,subcortical,19,0.3579,0.13246,0.19869,False,-0.1295,0.706
t1t2,baseline_all,gaba,GABAa-bz,cortical,62,-0.0147,0.909522,0.909522,False,-0.2706,0.2431
t1t2,baseline_all,gaba,GABAa,cortical,62,0.0384,0.766973,0.909522,False,-0.2207,0.2924
t1t2,baseline_all,gaba,GABAa-bz,subcortical,19,-0.5404,0.016919,0.033839,True,-0.8038,-0.0996
t1t2,baseline_all,gaba,GABAa,subcortical,19,-0.7105,0.000651,0.002605,True,-0.8838,-0.3658
t1t2,baseline_all,serotonin,5HT1a,cortical,62,-0.3325,0.008285,0.019885,True,-0.543,-0.0826
t1t2,baseline_all,serotonin,5HT1b,cortical,62,-0.3502,0.005272,0.019885,True,-0.557,-0.1024
t1t2,baseline_all,serotonin,5HT2a,cortical,62,-0.2956,0.019687,0.03375,True,-0.5135,-0.0418
t1t2,baseline_all,serotonin,5HT4,cortical,62,-0.5753,1e-06,1.2e-05,True,-0.7251,-0.3736
t1t2,baseline_all,serotonin,5HT6,cortical,62,-0.3192,0.011452,0.022903,True,-0.5324,-0.0678
t1t2,baseline_all,serotonin,5HTT,cortical,62,0.1314,0.308582,0.336635,False,-0.1299,0.3757
t1t2,baseline_all,serotonin,5HT1a,subcortical,19,-0.507,0.026719,0.040079,True,-0.787,-0.054
t1t2,baseline_all,serotonin,5HT1b,subcortical,19,0.5877,0.008139,0.019885,True,0.1679,0.8271
t1t2,baseline_all,serotonin,5HT2a,subcortical,19,-0.3175,0.185247,0.246996,False,-0.6824,0.174
t1t2,baseline_all,serotonin,5HT4,subcortical,19,0.2895,0.229335,0.275202,False,-0.2038,0.6655
t1t2,baseline_all,serotonin,5HT6,subcortical,19,0.1439,0.556822,0.556822,False,-0.3451,0.5714
