label;region;5HT1a;5HT1b;5HT2a;5HT4;5HT6;5HTT;A4B2;D1;D2;DAT;GABAa-bz;GABAa;M1;NMDA;VAChT;mGluR5
2013;ctx-rh-lingual;-0,157960559;0,628967482;0,666410642;-0,319013576;0,010183447;-0,224722187;-0,580005069;-0,091166505;-0,469665402;-0,424753365;1,326240533;0,945619829;-0,036897409;0,258141848;-0,495498972;0,072919683
2014;ctx-rh-medialorbitofrontal;0,891138694;0,435085115;0,84185334;0,286470227;-0,042521967;-0,205706417;-0,172348494;0,501627924;-0,200312799;-0,229347267;0,44320805;0,957806552;0,667831482;0,194659563;-0,197883024;0,777999588
2015;ctx-rh-middletemporal;0,88185476;0,29471621;1,060816214;0,610908227;0,403058875;-0,539628124;-0,357810907;0,039844265;-0,076050453;-0,438378419;0,455815176;0,699297493;0,79698407;0,30283188;-0,343659154;0,756047489
2016;ctx-rh-parahippocampal;1,29380283;-0,897762195;-0,006747365;-0,2005588;-0,151734733;-0,145034078;-0,311424937;0,022777287;-0,263381932;-0,187028024;-0,375835231;0,585989563;-0,264522268;-0,292898425;-0,392107433;0,105453432
2017;ctx-rh-paracentral;0,008657438;0,26444936;0,080280791;-0,339301328;0,144298277;-0,258278454;0,073337681;-0,33828532;-0,46024551;-0,643194266;0,368819723;0,279080246;0,331007379;0,380151688;-0,092279167;0,433768489
2018;ctx-rh-parsopercularis;0,740935138;1,223751527;1,041687997;0,160558035;0,945682875;-0,454477509;0,624598523;0,126617592;-0,277122822;-0,252315467;0,952632959;0,857207003;0,730139338;0,762903274;-0,201909088;1,207942357
2019;ctx-rh-parsorbitalis;0,171957775;0,627687795;0,747810376;0,144357591;0,113862483;-0,375454066;0,10736285;-0,11024327;-0,371243725;-0,49469061;0,419134194;0,600121152;0,653883241;0,205500455;-0,360927603;0,429519235
2020;ctx-rh-parstriangularis;0,256927044;1,012955485;0,856771955;0,152939197;0,677093954;-0,475325963;0,535484894;-0,174256221;-0,350503036;-0,464201158;0,574710211;0,654059861;0,801309525;0,372185364;-0,29365861;0,750484547
2021;ctx-rh-pericalcarine;-0,706262547;2,289720175;1,110704776;-0,467475007;1,042564907;-0,094834943;-0,209560946;-0,017085297;-0,510362888;-0,417574246;2,015077703;1,638124915;0,98441289;1,072406387;-0,357099407;0,369731985
2022;ctx-rh-postcentral;0,098095194;0,307695998;0,405763687;-0,108717666;-0,024613892;-0,456518695;-0,201182385;-0,30073576;-0,394759979;-0,677695696;0,253363238;0,46429788;0,466659662;-0,353779152;-0,30675603;0,425990198
