region,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,D1,D2,DAT,GABAa-bz,GABAa,M1,NMDA,VAChT,mGluR5
ctx-rh-parsorbitalis,0.1719577745421162,0.6276877945087294,0.7478103755276544,0.1443575908253596,0.1138624830337135,-0.3754540657876592,0.1073628499791182,-0.1102432704428655,-0.3712437251836242,-0.4946906100539119,0.4191341937474071,0.6001211518098933,0.653883240752766,0.2055004545291861,-0.360927602933286,0.4295192353608088
ctx-rh-parstriangularis,0.2569270435183071,1.012955484641697,0.856771955246035,0.1529391969533008,0.6770939535748549,-0.4753259627057926,0.5354848935508384,-0.1742562207154328,-0.3505030361115254,-0.4642011578705814,0.5747102109421514,0.6540598608632762,0.8013095253538551,0.3721853636754748,-0.2936586101681606,0.750484546787138
ctx-rh-pericalcarine,-0.7062625471909163,2.289720175262624,1.1107047758272917,-0.4674750068752102,1.0425649071949126,-0.0948349433959157,-0.2095609461097208,-0.0170852968010211,-0.5103628880721501,-0.4175742462192072,2.0150777027242475,1.6381249148250403,0.984412889508022,1.0724063866030271,-0.3570994072498443,0.3697319851823658
ctx-rh-postcentral,0.0980951935606327,0.3076959977483249,0.4057636868601511,-0.1087176658526458,-0.0246138916043127,-0.4565186945335295,-0.2011823846419829,-0.3007357600986687,-0.3947599788256462,-0.677695695876104,0.2533632384733583,0.4642978796520663,0.4666596618345889,-0.3537791522843278,-0.306756029867513,0.4259901981212139
ctx-rh-posteriorcingulate,0.6126356380853717,0.5696637901927162,0.859722432467771,0.3039568859655244,0.2007462246623014,0.0995211897499935,0.2724520183922242,0.4330285317135445,-0.3709917171478695,-0.2238960814122362,1.2705936250995904,0.8411987136968851,0.4194048930114688,0.8400970643064709,0.0891081906659936,1.245577591204356
ctx-rh-precentral,-0.0022665802632469,0.6918381699863707,0.4355997728538033,-0.1959488383511484,0.1852390717326643,-0.610558346638344,0.292191114673607,-0.3647927060385749,-0.4272987696662291,-0.6680867940473398,0.2158467287541905,0.272607353738115,0.3055462986275481,0.3097203367639601,-0.1868988245093577,0.3935667565580125
ctx-rh-precuneus,0.268917711994035,0.4533716092691717,0.9501286194376204,0.2117700848123067,0.8629262976084946,-0.3784959898921434,0.0691488285062104,0.0988748961662427,-0.3677698017943258,-0.5416065550371533,1.0849038921099785,1.1162969680495909,0.7639991201098215,0.7113918452484854,-0.3145085949030188,0.998142869476887
ctx-rh-rostralanteriorcingulate,0.9639059979353088,0.5569133924474983,0.7090661387425508,0.1964827348546607,0.7229941388127158,0.2472008037285681,-0.1534472658413677,0.5709431781872206,-0.1313055461667705,0.0243931010197452,1.4895584184861066,0.9972486657196908,0.4874568464128896,0.6846883592375361,-0.1007683554876747,1.2516161571833695
ctx-rh-rostralmiddlefrontal,0.4393338368765124,1.1586141805351438,1.0163283632372544,0.1853298130427545,0.1448660624665969,-0.5940781372388703,0.3727468303572019,-0.1757721851805493,-0.3827408964482187,-0.6911814237117737,0.5197226405113647,0.6799039091810497,0.7953123403002589,-0.0396332824333352,-0.3648125048412421,0.7118189160881616
ctx-rh-superiorfrontal,0.4643545034166978,0.7883223437668043,0.8428912741157577,0.0551437822590388,0.3930520052339293,-0.6324344648088948,0.2634692158357982,-0.1456369581309946,-0.3866046385179258,-0.7980272255781443,0.4154587609886322,0.5512610112920847,0.5017171155024484,-0.032761811911372,-0.3715168995132394,0.6742350390106544
ctx-rh-superiorparietal,-0.089542239698817,0.1906729196811089,0.5178493061427516,0.0532937402616499,-0.0586302667754933,-0.7719707927335278,-0.3406494588201771,-0.5093114396467543,-0.4095775959536057,-0.8852946013571121,0.1679954334419634,0.3527213396805406,0.4349771419578166,-0.6206192682347987,-0.4931891835390406,0.1782552548788269
ctx-rh-superiortemporal,1.0047016606830088,-0.0453810266699905,0.7577821853038204,0.3767561967579205,0.417291770221275,0.026332990029735,-0.3995517400865551,0.0196248807093745,-0.0736627423790748,-0.3646730447126368,0.2020471609085613,0.5966511219549748,0.6595236253423522,0.6437880012793252,-0.2379247423210276,0.7415910563795619
ctx-rh-supramarginal,0.3732144508091717,0.5802704996560732,0.89072730702782,0.4752850665182197,-0.014878823475782,-0.5952209923520406,-0.4364403000283181,-0.1528081458133038,-0.3207242165632774,-0.601891072202505,0.4677148827678964,0.597563400236693,0.5488307531111124,-0.2321640587213976,-0.3373954024733419,0.8006330265773078
ctx-rh-transversetemporal,0.6555853231661924,0.7729310241744759,0.9246292488747002,-0.0208320651645372,0.7789816378778964,0.2598416098807223,0.3132037712887336,0.3792800258660598,-0.2448401611718136,-0.0892100173814355,1.5368307368006626,0.9408437835552718,0.7665176574618577,1.881964873382581,0.1108271712487895,1.101536467386307
ctx-rh-insula,1.416408100588234,0.4861588922570209,0.5410865859008082,0.1791851730863772,0.947541886258538,0.6770177188019837,0.1463732459331272,0.5265258704566808,0.2062978989221831,0.5076615363729613,0.7849229772151319,0.8803011097265593,0.8218651873299166,1.280393727048836,0.1294930233185233,1.0933213826832937
