biomarker,correlation_type,neurotransmitter,receptor,region_type,n,rho,pvalue,pvalue_fdr,sig_fdr,ci_lower_95,ci_upper_95,rho_spin_observed,p_spin,n_spin_regions,n_spin_lh,n_spin_rh,n_spins,spin_error,q_spin_fdr,spin_fdr_significant,spin_significant
t1t2,baseline_declining,serotonin,5HT1b,cortical,62,-0.1031,0.425346,0.504143,False,-0.3507,0.158,-0.10306967842663242,0.8431568431568431,62,31,31,1000,,0.972054494178388,False,False
t1t2,baseline_declining,serotonin,5HT2a,cortical,62,-0.2065,0.107302,0.214605,False,-0.4401,0.0532,-0.20651708594595955,0.5594405594405595,62,31,31,1000,,0.9023429400787891,False,False
t1t2,baseline_declining,serotonin,5HT4,cortical,62,-0.6404,0.0,0.0,True,-0.7705,-0.459,-0.6404019037546271,0.000999000999000999,62,31,31,1000,,0.042624042624042624,True,True
t1t2,baseline_declining,serotonin,5HT6,cortical,62,-0.178,0.166413,0.24962,False,-0.4159,0.0828,-0.1779607665382388,0.6703296703296703,62,31,31,1000,,0.920405797411145,False,False
t1t2,baseline_declining,serotonin,5HTT,cortical,62,-0.0951,0.462131,0.504143,False,-0.3436,0.1659,-0.09511218554053033,0.8151848151848152,62,31,31,1000,,0.9718281718281718,False,False
t1t2,baseline_declining,glutamate,mGluR5,cortical,62,-0.4285,0.000511,0.002045,True,-0.6175,-0.1928,-0.4285210646924026,0.16583416583416583,62,31,31,1000,,0.4717060717060717,False,False
t1t2,baseline_declining,glutamate,NMDA,cortical,62,0.0957,0.459515,0.726397,False,-0.1653,0.3441,0.09566618820981591,0.6113886113886113,62,31,31,1000,,0.905050505050505,False,False
volume,delta_all,dopamine,D1,cortical,62,-0.0871,0.500831,0.500831,False,-0.3365,0.1737,-0.08710432877540228,0.7852147852147852,62,31,31,1000,,0.9596498739355882,False,False
volume,delta_all,dopamine,D2,cortical,62,-0.677,0.0,0.0,True,-0.7955,-0.5085,-0.676966079927476,0.016983016983016984,62,31,31,1000,,0.1242186385043528,False,True
volume,delta_all,dopamine,DAT,cortical,62,-0.1531,0.234738,0.327661,False,-0.3945,0.1081,-0.15313137417843922,0.6803196803196803,62,31,31,1000,,0.9214912072054928,False,False
volume,delta_all,ach,VAChT,cortical,62,-0.077,0.551784,0.827676,False,-0.3275,0.1835,-0.07703155297020976,0.7962037962037962,62,31,31,1000,,0.966010293024511,False,False
volume,delta_all,ach,M1,cortical,62,-0.0913,0.48018,0.827676,False,-0.3403,0.1696,-0.09133489461358313,0.7582417582417582,62,31,31,1000,,0.9534543126776136,False,False
volume,delta_all,ach,A4B2,cortical,62,0.0353,0.785449,0.926161,False,-0.2237,0.2896,0.035279897257686786,0.9440559440559441,62,31,31,1000,,0.9796817355872474,False,False
volume,delta_all,gaba,GABAa-bz,cortical,62,0.5516,3e-06,1.3e-05,True,0.3433,0.7082,0.5516103850318552,0.01098901098901099,62,31,31,1000,,0.1041921041921042,False,True
volume,delta_all,gaba,GABAa,cortical,62,0.1123,0.384686,0.384686,False,-0.1489,0.3589,0.11233663216740954,0.6333666333666333,62,31,31,1000,,0.905050505050505,False,False
volume,delta_all,serotonin,5HT1a,cortical,62,-0.7102,0.0,0.0,True,-0.8179,-0.5544,-0.7102062400846113,0.005994005994005994,62,31,31,1000,,0.08076134391923866,False,True
volume,delta_all,serotonin,5HT1b,cortical,62,0.3515,0.005093,0.020373,True,0.1039,0.558,0.3514643297826799,0.33766233766233766,62,31,31,1000,,0.7143930449715574,False,False
volume,delta_all,serotonin,5HT2a,cortical,62,-0.0976,0.450542,0.4915,False,-0.3458,0.1634,-0.0975800156128025,0.7382617382617382,62,31,31,1000,,0.9497236431909799,False,False
volume,delta_all,serotonin,5HT4,cortical,62,-0.3966,0.001417,0.008502,True,-0.5931,-0.1555,-0.39659036538994236,0.0979020979020979,62,31,31,1000,,0.3433279049717406,False,False
